ID,City,Country,Latitude,Longitude,Elevation (m),Elevation (ft),Max Temp (F),Adj Temp (F),Humidity (%),Wind Speed (mph),Cloudiness (%),Date
2498,Manbij,SY,36.53,37.96,456.331543,1497.150779,57.2,62.44002773,82,1.12,0,1538014800
2499,Yerofey Pavlovich,RU,53.97,121.97,532.4906616,1747.016662,58.92,65.03455832,46,4.18,12,1538016497
2500,Zaporizhzhya,UA,47.82,35.18,51.02222061,167.3957423,37.4,37.9858851,100,4.47,8,1538013600
2501,Wasilla,US,61.58,-149.44,105.2912979,345.4439018,55.94,57.14905366,57,1.16,1,1538013360
2502,Nabisar,PK,25.07,69.64,7.600888729,24.93729978,76.83,76.91728055,89,8.1,24,1538016498
2503,Northampton,US,40.69,-75.49,119.899704,393.3717448,73.04,74.41680111,100,6.08,20,1538014500
2504,Boden,SE,65.83,21.69,11.69079876,38.3556402,39.2,39.33424474,93,27.51,90,1538014800
2505,Bibiani,GH,6.45,-2.31,220.1546631,722.2922248,70.89,73.41802279,96,5.19,48,1538016498
2506,Dargaville,NZ,-35.94,173.86,16,52.49344,58.83,59.01372704,65,12.24,68,1538016499
2507,La Union,ES,37.62,-0.88,97.2318573,319.0021667,75.2,76.31650758,69,18.34,32,1538015400
2508,Dharchula,IN,29.85,80.53,1426.207764,4679.159479,54.69,71.06705818,63,1.61,0,1538016499
2509,Kitami,JP,43.8,143.9,65.36732483,214.459734,60.8,61.55060907,72,1.12,75,1538013600
2510,Boromo,BF,11.74,-2.93,266.4646301,874.2278171,73.86,76.91979736,92,6.64,24,1538016500
2511,Hirata,JP,37.21,140.56,498.2063599,1634.535354,55.4,61.12087374,100,9.17,75,1538013600
2512,Sovetskaya Gavan,RU,48.97,140.29,53.73155594,176.284638,57.75,58.36699623,81,4.41,0,1538016500
2513,Visselhovede,DE,52.98,9.6,75.54705811,247.8578101,59,59.86750234,62,10.29,75,1538014800
2514,Manuk Mangkaw,PH,4.8,119.85,8.598577499,28.210557,81.78,81.87873695,100,6.98,48,1538016501
2515,Abaza,RU,52.65,90.1,451.484436,1481.248197,52.89,58.07436869,82,7.43,92,1538016501
2516,Brumunddal,NO,60.89,10.94,148.9795532,488.7780774,46.68,48.39072327,58,5.86,0,1538016501
2517,Constantine,DZ,36.36,6.61,556.7337646,1826.554404,55.4,61.79294042,87,3.06,20,1538015400
2518,Dourbali,TD,11.81,15.86,326.3191223,1070.600829,71.61,75.3571029,90,2.62,20,1538016502
2519,Vegreville,CA,53.5,-112.05,637,2089.89508,49.02,56.33463278,55,13.8,92,1538016502
2520,Polunochnoye,RU,60.87,60.43,154.6600037,507.4147264,45.96,47.73595154,73,7.76,36,1538016502
2521,Anyama,CI,5.5,-4.06,87.07168579,285.6682696,78.8,79.79983894,88,9.17,75,1538015400
2522,Santa Maria Del Oro,MX,25.95,-105.37,1730.841309,5678.613399,65.58,85.4551469,58,1.72,80,1538016503
2523,Rockport,US,28.02,-97.05,2.175064087,7.136037259,86,86.02497613,87,12.75,90,1538015280
2524,Nanyamba,TZ,-10.68,39.83,245.7644501,806.3138384,69.8,72.62209843,94,4.07,40,1538013600
2525,Krasne,UA,49.91,24.61,216.7955627,711.2715541,48.2,50.68945044,70,11.18,0,1538013600
2526,Pirassununga,BR,-22,-47.43,614.3061523,2015.440197,69.8,76.85404069,77,6.93,0,1538013600
2527,Ciudad Bolivar,VE,8.12,-63.55,44.74266052,146.7935103,74.31,74.82377729,97,3.29,64,1538016347
2528,Sarkand,KZ,45.41,79.91,764.3289185,2507.640889,52.26,61.03674311,55,3.74,0,1538016504
2529,Rivadavia,AR,-31.53,-68.59,685.6990356,2249.668824,51.45,59.32384088,70,7.99,92,1538016504
2530,Karoi,ZW,-16.82,29.68,1281.129639,4203.181364,70.08,84.79113477,41,11.56,0,1538016505
2531,Alekseyevskaya,RU,45.77,40.15,55.32444382,181.5106483,40.65,41.28528727,84,7.43,0,1538016505
2532,Safranbolu,TR,41.25,32.69,454.718811,1491.859664,47.31,52.53150882,87,2.84,24,1538016505
2533,Heishan,CN,41.69,122.12,21.8595562,71.71770636,68.46,68.71101197,72,4.63,0,1538016505
2534,La Argentina,CO,2.2,-75.98,1512.122559,4961.032175,46.68,64.04361261,93,1.83,20,1538016506
2535,Malanje,AO,-9.54,16.35,1146.149292,3760.332443,63.6,76.76116355,93,3.85,20,1538016506
2536,Hamadan,IR,34.8,48.51,1810.60144,5940.29363,39.12,59.9110277,82,2.62,0,1538016506
2537,Lai,TD,9.4,16.3,361,1184.38324,74.76,78.90534134,79,2.73,20,1538016506
2538,Oudtshoorn,ZA,-33.59,22.2,318.8164978,1045.985919,57.2,60.86095072,71,4.7,12,1538013600
2539,Dali,CN,25.6,100.24,1971.297729,6467.512443,65.13,87.76629355,92,2.06,64,1538016507
2540,Atherton,AU,-17.27,145.48,786.2977905,2579.717243,82.4,91.42901035,42,14.99,20,1538015400
2541,Tamazunchale,MX,21.26,-98.79,141.5387878,464.3661167,66.84,68.46528141,88,1.5,44,1538016278
2542,Lianran,CN,24.92,102.47,1920.432251,6300.630946,68,90.05220831,77,4.47,40,1538013600
2543,Tairua,NZ,-37.02,175.85,0,0,57.75,57.75,61,5.97,80,1538016508
2544,Nocupetaro,MX,19.05,-101.15,684.2932739,2245.056745,61.71,69.56769861,89,1.5,24,1538016508
2545,Nyaunglebin,MM,17.95,96.73,14.30377102,46.92838411,80.16,80.32424934,95,4.18,64,1538016508
2546,Potosi,BO,-19.59,-65.75,4018.724609,13184.79245,27.15,73.29677357,43,4.85,0,1538016509
2547,Heinola,FI,61.2,26.03,78,255.90552,46.4,47.29566932,61,20.8,20,1538014800
2548,Andros Town,BS,24.73,-77.79,13.57155514,44.52610096,84.2,84.35584135,79,5.82,40,1538013600
2549,Zunyi,CN,27.73,106.92,912.3287354,2993.204608,60.54,71.01621613,94,4.85,92,1538016510
2550,Lasalgaon,IN,20.14,74.24,584.3280029,1917.086685,79.26,85.9698034,70,4.18,0,1538016510
2551,Muli,MV,2.92,73.57,0,0,80.25,80.25,100,18.16,80,1538016510
2552,Anaconda,US,46.13,-112.94,1599.46167,5247.577825,57.02,75.38652239,7,6.93,20,1538013180
2553,Passagem Franca,BR,-6.18,-43.78,238.7537842,783.3129653,78.09,80.83159538,69,3.18,24,1538016510
2554,Khandagayty,RU,50.73,92.05,1189.719116,3903.278065,46.32,59.98147323,58,6.08,24,1538016511
2555,Jonkoping,SE,57.78,14.16,102.223999,335.380585,50,51.17383205,87,11.41,32,1538014800
2556,Bam,IR,29.11,58.36,1060.489746,3479.297179,59.01,71.18754013,38,4.18,0,1538016511
2557,Casablanca,MA,33.6,-7.62,19.6640358,64.5145552,73.4,73.62580094,73,4.7,40,1538015400
2558,Gashua,NG,12.87,11.04,339.1653442,1112.747228,70.71,74.6046153,84,5.75,0,1538016512
2559,Pierre,US,44.37,-100.35,461.2383423,1513.249203,60.98,66.27637221,45,5.82,1,1538013180
2560,Tongzi,CN,28.78,105.09,346.3333435,1136.264287,66.48,70.456925,100,5.41,92,1538016512
2561,Mongu,ZM,-15.27,23.14,1035.542725,3397.449993,67.65,79.54107497,41,10,0,1538016512
2562,Sisak,HR,45.49,16.38,96.38578033,316.2263236,35.6,36.70679213,86,1.12,0,1538015400
2563,Alekseyevsk,RU,57.84,108.35,251.3946686,824.7856845,42.63,45.5167499,98,3.29,80,1538016513
2564,Nancha,CN,47.14,129.26,169.7928162,557.063063,61.98,63.92972072,61,3.06,0,1538016513
2565,Olot,UZ,39.42,63.81,195,639.7638,57.2,59.4391733,50,6.93,0,1538013600
2566,Harrismith,ZA,-28.27,29.13,1636.34314,5368.580026,45.51,64.30003009,68,2.06,0,1538016514
2567,Jacksonville,US,30.33,-81.66,5.563024521,18.25139337,84.02,84.08387988,79,10.29,75,1538014500
2568,Novopavlovsk,RU,43.96,43.63,331.1262817,1086.37235,50,53.80230323,81,2.24,90,1538013600
2569,Metapan,SV,14.33,-89.45,474.4312134,1556.532902,66.66,72.10786516,98,1.95,88,1538016515
2570,Kentau,KZ,43.52,68.5,433.0937805,1420.911399,52.26,57.2331899,52,1.95,24,1538016515
2571,Kalamnuri,IN,19.67,77.31,453.2097778,1486.908768,81.06,86.26418069,73,4.74,0,1538016515
2572,Shumerlya,RU,55.5,46.42,113.7515869,373.2007564,36.87,38.17620265,80,15.26,48,1538016515
2573,Port Lavaca,US,28.61,-96.63,5.466150761,17.93356606,78.08,78.14276748,91,14.99,90,1538015160
2574,Tevaitoa,PF,-16.78,-151.5,-1.902175784,-6.2407344,78.09,78.06815743,100,13.8,0,1538016516
2575,Opole Lubelskie,PL,51.15,21.97,149.922821,491.8727882,51.45,53.17155476,55,15.82,76,1538016516
2576,Alto Araguaia,BR,-17.32,-53.22,677.3887329,2222.40405,76.47,84.24841418,72,3.29,100,1538016516
2577,Koumac,NC,-20.56,164.28,8.8717556,29.10681064,73.5,73.60187384,68,11.68,88,1538016517
2578,Smithers,CA,54.78,-127.17,497,1630.57748,51.8,57.50702118,93,6.93,90,1538013600
2579,Zinder,NE,13.81,8.99,456.8231201,1498.763565,72.15,77.39567248,63,5.86,0,1538016457
2580,Taperoa,BR,-7.21,-36.83,530.2453613,1739.650191,66.03,72.11877567,88,9.78,0,1538016517
2581,Purpe,RU,64.48,76.69,48.95825577,160.6242039,58.29,58.85218471,66,14.81,68,1538016517
2582,Cajazeiras,BR,-6.89,-38.56,304.5795593,999.2768014,78.09,81.5874688,49,12.8,0,1538016518
2583,Lubuagan,PH,17.35,121.18,832.451355,2731.139703,82.59,92.14898896,67,1.61,0,1538016518
2584,Lucea,JM,18.44,-78.17,8.621608734,28.2861188,80.6,80.69900142,78,6.93,20,1538013600
2585,Chekhov,RU,55.14,37.45,149.4844513,490.4345672,41,42.71652099,86,17.9,75,1538013600
2586,Kousseri,CM,12.08,15.03,301.7619019,990.0325181,80.6,84.06511381,88,3.36,0,1538013600
2587,Esil,KZ,51.96,66.41,222.7653351,730.857422,51.9,54.45800098,73,6.98,0,1538016519
2588,Barth,DE,54.37,12.73,4.324512959,14.18803509,57.2,57.24965812,93,11.41,75,1538014800
2589,Novo Oriente,BR,-5.54,-40.77,360.9063416,1184.075962,72.33,76.47426587,53,4.97,0,1538016519
2590,Colwyn Bay,GB,53.29,-3.71,36.22029877,118.833005,59,59.41591552,87,5.82,75,1538014800
2591,Tlaltenango,MX,19.17,-98.35,2227.377686,7307.669806,62.6,88.17684432,63,8.05,75,1538012640
2592,Staraya Russa,RU,57.99,31.36,27,88.58268,49.65,49.96003938,86,22.64,0,1538016299
2593,Staryy Nadym,RU,65.61,72.68,16,52.49344,54.33,54.51372704,82,9.66,64,1538016520
2594,Thap Than,TH,15.46,99.89,46,150.91864,87.27,87.79821524,73,4.63,0,1538016521
2595,Dragor,DK,55.59,12.67,2.241228819,7.353113158,57.2,57.2257359,87,17.22,75,1538014800
2596,Pano Aqil,PK,27.86,69.11,69.36853027,227.5870489,80.88,81.67655467,55,5.3,44,1538016521
2597,Black River,JM,18.03,-77.85,2.741333246,8.993875768,80.6,80.63147857,78,6.93,20,1538013600
2598,Kharian,PK,32.81,73.87,284.9598999,934.907838,77,80.27217743,83,2.17,20,1538013600
2599,Maiduguri,NG,11.84,13.15,328.8257751,1078.824756,72.69,76.46588665,77,4.18,48,1538016522
2600,Kabarnet,KE,0.5,35.74,1999.824463,6561.104091,54.78,77.74386432,93,2.17,44,1538016522
2601,Hornepayne,CA,49.22,-84.78,358.8016357,1177.170759,44.61,48.73009766,92,7.31,100,1538016522
2602,Coolum Beach,AU,-26.53,153.09,7.813350201,25.63435187,74.67,74.75972023,69,3.85,12,1538016523
2603,Monte Santo,BR,-10.44,-39.33,468.3153381,1536.467694,72.15,77.52763693,63,10.78,0,1538016523
2604,Lins,BR,-21.67,-49.75,419.8921814,1377.599064,69.36,74.18159673,91,3.06,64,1538016523
2605,Visconde Do Rio Branco,BR,-21.01,-42.84,345.4037781,1133.214531,68.37,72.33625086,59,7.09,0,1538016523
2606,Taybad,IR,34.74,60.78,811.7919922,2663.35964,56.76,66.08175874,51,8.77,0,1538016524
2607,Greymouth,NZ,-42.45,171.21,0,0,53.7,53.7,87,3.4,12,1538016524
2608,Sagu,RO,46.05,21.28,136.9573212,449.3350576,33.8,35.3726727,75,1.12,8,1538015400
2609,Primalkinskoye,RU,43.75,44.01,203.5555573,667.8332145,50,52.33741625,81,2.24,90,1538013600
2610,Dale,NO,61.36,5.4,45.88622284,150.5453553,48.2,48.72690874,81,8.05,92,1538014800
2611,Bloemhof,ZA,-27.65,25.61,1230.830322,4038.157355,55.68,69.81355074,79,2.84,0,1538016525
2612,Kaka,TM,37.35,59.62,286.1199951,938.7139248,48.48,51.76549874,76,2.39,0,1538016526
2613,Dubai,AE,25.27,55.3,10.83870411,35.56005399,87.8,87.92446019,70,9.17,0,1538013600
2614,Sohagpur,IN,22.7,78.2,333.2755432,1093.423733,79.35,83.17698307,88,4.52,0,1538016408
2615,Poli,CM,8.48,13.24,471.3301392,1546.358774,67.47,72.88225571,98,2.17,36,1538016526
2616,Mhlambanyatsi,SZ,-26.45,31.02,1319.312866,4328.454424,56.58,71.72959048,92,2.62,24,1538016526
2617,Mumford,GH,5.26,-0.76,22.78237534,74.7453283,74.49,74.75160865,94,7.65,88,1538016527
2618,Chimoio,MZ,-19.11,33.48,703.6630859,2308.605999,66.39,74.470121,83,2.39,0,1538016527
2619,Sassandra,CI,4.95,-6.09,10.23093319,33.56605485,76.65,76.76748119,99,11.68,92,1538016527
2620,Quthing,LS,-30.4,27.7,1516.08313,4974.026176,45.51,62.91909162,41,4.18,0,1538016528
2621,Libreville,GA,0.39,9.45,18.51733398,60.75241003,77,77.21263344,88,8.05,75,1538013600
2622,Crestview,US,30.76,-86.57,70.46208191,231.1748168,77,77.80911186,90,4.74,1,1538014980
2623,Krutikha,RU,53.96,81.21,123.4737778,405.0977091,57.66,59.07784198,83,4.41,0,1538016528
2624,Paracuru,BR,-3.41,-39.03,24.78755569,81.32400423,80.6,80.88463401,74,16.11,40,1538013600
2625,Adre,TD,13.47,22.2,790.4897461,2593.470379,70.53,79.60714633,76,3.06,56,1538016529
2626,Matadi,CD,-5.83,13.46,119.0733109,390.6604812,69.81,71.17731168,97,4.63,36,1538016529
2627,Synevyr,UA,48.49,23.62,636.8817749,2089.507202,39.75,47.06327521,68,4.41,48,1538016529
2628,Nosy Varika,MG,-20.58,48.53,0.418484151,1.372979543,68.1,68.10480543,100,3.74,68,1538016529
2629,Mahajanga,MG,-15.72,46.32,9.736633301,31.944336,71.6,71.71180518,68,4.7,20,1538013600
2630,Magadi,KE,-1.9,36.29,614.0118408,2014.474608,58.56,65.61066113,98,2.39,20,1538016530
2631,Santa Vitoria Do Palmar,BR,-33.52,-53.37,22.6346035,74.26051255,61.44,61.69991179,98,15.93,92,1538016530
2632,Sanaur,IN,30.3,76.46,257.0310974,843.2779056,79.8,82.75147267,84,3.85,0,1538016530
2633,Bartlesville,US,36.75,-95.98,211.6999817,694.5537679,60.08,62.51093819,89,4.74,1,1538014500
2634,Xinglongshan,CN,43.96,125.47,228.6097717,750.0320835,64.4,67.02511229,52,2.24,0,1538013600
2635,Monforte De Lemos,ES,42.52,-7.51,297.9117126,977.4006633,59.28,62.70090232,76,1.95,20,1538016531
2636,Fort Myers Beach,US,26.45,-81.95,0.284759611,0.934250722,78.08,78.08326988,87,10.29,90,1538015160
2637,Moyale,ET,3.52,39.05,1096.569946,3597.670543,65.76,78.3518469,93,8.21,92,1538016532
2638,Harbour Breton,CA,47.48,-55.8,35.29806137,115.8072917,55.59,55.99532552,91,24.99,92,1538016532
2639,Sumter,US,33.92,-80.34,51.3062706,168.3276648,75.02,75.60914683,100,11.34,40,1538015100
2640,Fuzhou,CN,26.08,119.3,14.57503605,47.81836127,80.6,80.76736426,54,15.66,20,1538013600
2641,Petro-Slavyanka,RU,59.8,30.51,16.61738586,54.51898424,48.2,48.39081644,66,20.13,40,1538013600
2642,Stuttgart,US,34.5,-91.55,64.65550995,212.1243833,68,68.74243534,65,8.05,90,1538013360
2643,Tambovka,RU,47.32,47.38,-14.88553429,-48.83705631,45.69,45.5190703,97,6.42,0,1538016533
2644,Tawang,IN,27.58,91.87,2678.821289,8788.784038,53.34,84.10074413,74,0.94,32,1538016534
2645,Tisul,RU,55.76,88.31,202.907074,665.7056446,57.3,59.62996976,97,7.99,76,1538016534
2646,Pingdingshan,CN,33.74,113.3,88.67411804,290.9255934,72.15,73.16823958,77,3.96,8,1538016534
2647,Gewane,ET,10.16,40.66,625.8338013,2053.260569,62.61,69.79641199,76,2.28,0,1538016534
2648,Bethal,ZA,-26.46,29.47,1666.134277,5466.319982,64.86,83.99211994,28,9.22,92,1538016535
2649,Kvam,NO,61.67,9.69,278.4506531,913.5520406,36.6,39.79743214,57,5.97,0,1538016535
2650,Uporovo,RU,56.31,66.27,65.93599701,216.3254564,56.49,57.2471391,60,12.91,56,1538016535
2651,Melnikovo,RU,56.55,84.09,90.99427795,298.5376669,58.38,59.42488183,79,4.18,0,1538016535
2652,Cimarron Hills,US,38.86,-104.7,1967.245605,6454.218072,64.94,87.52976325,9,7.43,1,1538015700
2653,Sarti,GR,40.1,23.98,3.88589263,12.74899197,62.16,62.20462147,100,31.14,8,1538016536
2654,Jega,NG,12.22,4.38,209.6648865,687.8769461,75.21,77.61756931,87,6.42,0,1538016536
2655,Hukuntsi,BW,-23.98,21.76,1137.879395,3733.200233,68.73,81.79620081,25,3.51,48,1538016536
2656,Hibbing,US,47.43,-92.94,453.2392578,1487.005487,46.94,52.1445192,86,5.82,90,1538014500
2657,Lujiang,CN,31.26,117.28,14.83718681,48.67843598,73.4,73.57037453,64,13.42,20,1538013600
2658,Vostochnyy,RU,55.82,37.87,166.6986694,546.9116626,41,42.91419082,93,20.13,75,1538013600
2659,Paraiso,MX,24.01,-104.61,1874.354614,6149.457593,68,89.52310157,64,6.93,90,1538012700
2660,Tongchuan,CN,34.9,108.95,710.8710938,2332.254319,62.6,70.76289012,72,4.47,40,1538013600
2661,Nampa,US,43.57,-116.56,760.4152222,2494.800677,69.08,77.81180237,34,2.84,0,1538014500
2662,Anori,BR,-3.74,-61.66,21.29305077,69.85909268,80.43,80.67450682,82,5.75,24,1538016538
2663,Diu,IN,20.71,70.98,13.91166115,45.64193436,77.91,78.06974677,78,4.63,0,1538016538
2664,Seddon,NZ,-41.67,174.07,82,269.02888,47.94,48.88160108,100,3.4,100,1538016539
2665,Saraland,US,30.82,-88.07,5.061067104,16.6045514,78.08,78.13811593,96,3.36,40,1538015940
2666,Santo Antonio De Padua,BR,-21.54,-42.18,91.90650177,301.5305273,69.63,70.68535685,75,4.74,0,1538016539
2667,Bicske,HU,47.49,18.64,159.7635498,524.1586447,46.4,48.23455526,93,4.85,0,1538015400
2668,Izhma,RU,65.01,53.91,31.04164314,101.8426645,39.03,39.38644933,87,9.66,88,1538016540
2669,Mbuji-Mayi,CD,-6.13,23.6,618.9546509,2030.691177,68.46,75.56741912,86,2.62,0,1538016540
2670,Martapura,ID,-3.41,114.85,13.17244434,43.2166823,87.8,87.95125839,58,6.93,0,1538013600
2671,Aranos,NA,-24.14,19.11,1172.18689,3845.757635,56.13,69.59015172,27,4.18,0,1538016540
2672,Cowra,AU,-33.84,148.69,299.4861145,982.5660239,61.62,65.05898108,74,5.86,0,1538016541
2673,Moirang,IN,24.5,93.78,773.4121094,2537.441385,75.2,84.08104485,83,1.72,75,1538013600
2674,Pak Phanang,TH,8.35,100.2,5.653333187,18.54768165,89.6,89.66491689,62,4.74,20,1538013600
2675,Waterfoot,GB,53.69,-2.25,213.3779602,700.058947,59,61.45020631,87,3.36,90,1538014800
2676,Kargasok,RU,59.06,80.87,55.64088821,182.5488517,53.25,53.88892098,78,4.18,0,1538016542
2677,Racale,IT,39.96,18.09,60.2455101,197.6558794,66.2,66.89179558,37,25.28,5,1538013300
2678,Pachalum,GT,14.92,-90.66,1214.998535,3986.215794,66.2,80.15175528,77,13.87,20,1538013600
2679,Nimaparha,IN,20.07,86.02,9.318058968,30.57106058,80.6,80.70699871,88,3.36,48,1538013600
2680,Cortez,US,37.35,-108.58,1887.302979,6191.939104,59,80.67178686,9,3.51,1,1538013180
2681,Mae Ramat,TH,16.98,98.52,178.2986603,584.9693766,82.4,84.44739282,74,3.36,20,1538013600
2682,Ryde,GB,50.73,-1.16,25.78577805,84.59901204,50,50.29609654,93,1.12,0,1538013000
2683,Zeya,RU,53.74,127.27,227,744.75068,59.37,61.97662738,49,3.74,0,1538016543
2684,Nowy Dwor Gdanski,PL,54.21,19.12,1,3.28084,57.2,57.21148294,87,24.16,75,1538015400
2685,Orange Cove,US,36.62,-119.31,130.25383,427.3419755,91.94,93.43569691,27,4.7,1,1538015700
2686,Rudbar,AF,30.15,62.6,556.8970947,1827.090264,65.13,71.52481592,36,6.64,0,1538016544
2687,Verkhnevilyuysk,RU,63.45,120.31,122.9315567,403.3187685,51,52.41161569,62,1.05,56,1538016544
2688,Thohoyandou,ZA,-22.97,30.46,600.9742432,1971.700336,59.37,66.27095118,87,3.96,0,1538016545
2689,Banbury,GB,52.06,-1.34,103.0298767,338.0245407,59,60.18308589,93,2.24,90,1538014800
2690,Mirpur Mathelo,PK,28.02,69.55,76.0577774,249.5333984,81.51,82.38336689,72,3.96,56,1538016545
2691,Yarada,IN,17.65,83.27,0,0,84.03,84.03,100,8.1,12,1538016545
2692,Quang Ngai,VN,15.12,108.8,11.09599972,36.40419971,85.56,85.6874147,75,3.18,0,1538016546
2693,Bahia Blanca,AR,-38.72,-62.27,27.63064575,90.65172781,48.84,49.15728105,88,13.47,80,1538016469
2694,Enumclaw,US,47.2,-121.99,226.3670197,742.6739728,66.92,69.5193589,77,1.95,1,1538014500
2695,Enshi,CN,30.29,109.48,415.2309875,1362.306433,59.28,64.04807252,97,3.18,88,1538016546
2696,Lewisporte,CA,49.25,-55.06,26.29688835,86.27588318,53.6,53.90196559,81,17.22,90,1538013600
2697,Gijon,ES,43.54,-5.66,12.2339325,40.13757509,66.2,66.34048151,72,3.36,0,1538015400
2698,Shumskiy,RU,54.83,99.13,421,1381.23364,40.38,45.21431774,81,5.08,80,1538016547
2699,Niamey,NE,13.52,2.11,203.0325623,666.1173516,84.2,86.53141073,70,5.82,0,1538013600
2700,Iclanzel,RO,46.53,24.28,290.3930359,952.7330879,33.8,37.13456581,92,3.36,12,1538015400
2701,Lukovetskiy,RU,64.29,41.92,10.90133381,35.76553201,42.8,42.92517936,93,11.18,90,1538013600
2702,Perevolotskiy,RU,51.88,54.19,179.2737732,588.168566,48.21,50.26858998,96,6.08,88,1538016548
2703,Ust-Barguzin,RU,53.41,109.03,459.9502258,1509.023099,42.99,48.27158085,100,5.19,92,1538016548
2704,Zemio,CF,5.02,25.13,553.4639282,1815.826594,68.01,74.36539308,92,2.51,0,1538016548
2705,Suileng,CN,47.25,127.08,179.6640015,589.4488426,63.87,65.93307095,84,4.74,0,1538016549
2706,Calabozo,VE,8.92,-67.43,102.581337,336.5529536,78.81,79.98793534,75,11.79,8,1538016549
2707,Zalegoshch,RU,52.9,36.89,204.4688568,670.8296042,40.29,42.63790361,94,24.43,92,1538016549
2708,Broadstairs,GB,51.36,1.44,29.92098618,98.16596828,50,50.34358089,87,2.24,0,1538014800
2709,Severnoye,RU,54.09,52.54,195.0819702,640.0327312,41.01,43.25011456,95,4.52,44,1538016550
2710,Berwick,CA,45.05,-64.74,30,98.4252,73.4,73.7444882,88,17.22,75,1538013600
2711,Puerto Maldonado,PE,-12.59,-69.19,206.8488464,678.6379693,79.17,81.54523289,79,2.84,0,1538016388
2712,Kozhva,RU,65.11,57.05,62.68977737,205.6751292,38.13,38.84986295,91,9.89,56,1538016481
2713,Dakoro,NE,14.51,6.76,416.5982361,1366.792157,75.12,79.90377255,66,3.96,12,1538016550
2714,Bangil,ID,-7.6,112.78,11.77955532,38.64683628,84.2,84.33526393,58,4.7,20,1538013600
2715,Yairipok,IN,24.67,94.07,794.0584717,2605.178796,75.2,84.31812579,83,2.95,75,1538013600
2716,Lieksa,FI,63.32,30.02,100.3443222,329.2136661,41.01,42.16224783,100,6.76,92,1538016551
2717,Tumsar,IN,21.38,79.75,273.8817749,898.5622824,80.52,83.66496799,79,2.84,44,1538016552
2718,Rivers,CA,50.03,-100.23,470,1541.9948,42.8,48.1969818,81,9.17,20,1538013600
2719,Fenyi,CN,27.82,114.69,126.2515259,414.2110562,69.81,71.2597387,80,8.43,88,1538016552
2720,Dunga Bunga,PK,29.75,73.24,159.2778473,522.5651325,85.56,87.38897796,78,4.52,0,1538016552
2721,Hargeysa,SO,9.56,44.06,1266.263916,4154.409306,59.1,73.64043257,67,3.06,24,1538016553
2722,Mwinilunga,ZM,-11.73,24.43,1359.35437,4459.824192,62.25,77.85938467,52,3.4,0,1538016553
2723,Tatarsk,RU,55.22,75.96,106.2675018,348.6466707,55.41,56.63026335,76,6.42,0,1538016553
2724,Thoen,TH,17.61,99.22,165.944397,544.4370154,84.48,86.38552955,74,3.06,12,1538016553
2725,Marau,BR,-28.45,-52.2,554.5601807,1819.423223,64.77,71.13798128,98,3.29,80,1538016554
2726,Nyzhnya Duvanka,UA,49.58,38.17,74.3154068,243.8169592,34.8,35.65335936,91,9.44,0,1538016554
2727,Petropavlovka,RU,50.61,105.32,681.4639893,2235.774315,44.16,51.9852101,72,10.56,24,1538016554
2728,Maku,IR,39.29,44.45,1316.204346,4318.255866,34.62,49.73389553,83,1.05,0,1538016480
2729,Santa Lucia,ES,27.91,-15.54,685.0166016,2247.429867,71.6,79.46600453,83,21.92,20,1538015400
2730,Kanevskaya,RU,46.07,38.97,14.82400036,48.63517334,37.41,37.58022311,88,2.95,8,1538016555
2731,Bursa,TR,40.18,29.07,243.1106873,797.6072672,55.4,58.19162544,66,4.7,75,1538014800
2732,Tabas,IR,33.6,56.92,668.5466919,2193.394729,53.43,61.10688155,42,2.17,0,1538016555
2733,Bouar,CF,5.94,15.59,968.7600098,3178.34659,63.69,74.81421307,91,2.62,20,1538016556
2734,Harnosand,SE,62.63,17.94,2.596015453,8.51711134,44.6,44.62980989,65,13.87,0,1538014800
2735,Diebougou,BF,10.97,-3.25,299.8787231,983.85411,69.18,72.62348939,97,3.51,12,1538016556
2736,Singaraja,ID,-8.11,115.08,10.06980515,33.03741951,84.2,84.31563097,58,6.93,20,1538013600
2737,Anisoc,GQ,1.87,10.77,442.4978943,1451.764791,69,74.08117677,100,1.16,92,1538016557
2738,Rescaldina,IT,45.62,8.95,226.2932129,742.4318246,48.2,50.79851139,87,4.7,0,1538014800
2739,Ararat,AU,-37.28,142.93,324.4411926,1064.439642,62.7,66.42553875,76,8.32,0,1538016557
2740,Ossipee,US,36.17,-79.51,187.2210999,614.2424732,71.06,73.20984866,100,5.41,90,1538014800
2741,Katangli,RU,51.71,143.23,21.23091507,69.6552354,57.66,57.90379332,72,8.32,0,1538016558
2742,Canon City,US,39.46,-117.13,1789.272339,5870.31626,47.13,67.67610691,21,2.51,0,1538016406
2743,Palu,ID,-0.9,119.87,11.3795557,37.33450153,77.46,77.59067076,71,1.28,20,1538016558
2744,Baoqing,CN,46.32,132.2,85.48581696,280.4652877,62.25,63.23162851,60,1.39,0,1538016558
2745,Tonantins,BR,-2.86,-67.77,60.48616409,198.4454266,78.45,79.14455899,87,3.4,32,1538016559
2746,Melivoia,GR,41.33,24.93,406.8914795,1334.945842,51.8,56.47231045,62,5.82,20,1538014800
2747,Soria,ES,41.76,-2.46,1070.759155,3512.989467,44.88,57.17546313,86,2.39,0,1538016559
2748,Karpogory,RU,64,44.44,62.2444458,204.2140676,42.09,42.80474924,97,11.68,92,1538016559
